Year,Date,Month,Species,ID,Tissue,Treatment,Tot.NSC,Starch,Tot.Sug,Suc,Gluc.Fruc
2012,2012-06-26,6,PIED,13,bole,HD,2.504230726,1.004960611,1.499270116,0.826580631,0.672689485
2012,2012-06-26,6,PIED,13,leaf,HD,4.97565718,1.246919092,3.728738088,2.594587784,1.134150304
2012,2012-06-26,6,PIED,13,root,HD,2.956006512,1.947038597,1.008967915,0.598793888,0.410174027
2012,2012-06-26,6,PIED,13,twig,HD,13.493,7.5194375,5.9735625,3.6651875,2.308375
2012,2012-06-26,6,PIED,14,bole,D,2.113232073,1.180279713,0.93295236,0.623063019,0.309889341
2012,2012-06-26,6,PIED,14,leaf,D,5.69773957,1.528116941,4.16962263,2.798789507,1.370833123
2012,2012-06-26,6,PIED,14,twig,D,12.01348148,6.959240957,5.054240523,2.453546842,2.600693682
2012,2012-06-26,6,PIED,15,leaf,D,5.598950951,0.781737737,4.817213214,2.687143144,2.13007007
2012,2012-06-26,6,PIED,15,twig,D,NA,NA,7.351886585,3.295844266,4.056042319
2012,2012-06-26,6,PIED,16,leaf,H,4.536361186,0.273874663,4.262486523,2.73269407,1.529792453
2012,2012-06-26,6,PIED,16,twig,H,9.800185101,3.933734707,5.866450394,3.296829074,2.56962132
2012,2012-06-26,6,PIED,17,leaf,H,2.318910145,0.510936232,1.807973913,1.283371015,0.524602899
2012,2012-06-26,6,PIED,17,twig,H,7.694225515,2.409856412,5.284369104,2.963516723,2.320852381
2012,2012-06-26,6,PIED,18,leaf,HD,2.746195283,0.527591278,2.218604005,0.915372319,1.303231687
2012,2012-06-26,6,PIED,18,root,HD,5.050331482,3.112795371,1.937536111,1.095970371,0.841565741
2012,2012-06-26,6,PIED,18,twig,HD,9.930991116,3.85354338,6.077447736,3.228829877,2.848617859
2012,2012-06-26,6,PIED,2,bole,A,1.272834693,0.35663933,0.916195363,0.470134393,0.44606097
2012,2012-06-26,6,PIED,2,leaf,A,3.586972424,1.037934688,2.549037736,1.347984035,1.201053701
2012,2012-06-26,6,PIED,2,root,A,2.737346557,1.094106887,1.64323967,1.00801102,0.63522865
2012,2012-06-26,6,PIED,2,twig,A,9.584480202,4.360712232,5.22376797,2.571752837,2.652015133
2012,2012-06-26,6,PIED,20,bole,CC,5.355241312,3.009145223,2.346096089,1.347223009,0.99887308
2012,2012-06-26,6,PIED,20,leaf,CC,5.228575768,1.415741854,3.812833914,2.375305284,1.43752863
2012,2012-06-26,6,PIED,20,twig,CC,18.66678039,8.871495905,9.79528448,5.53364022,4.26164426
2012,2012-06-26,6,PIED,21,leaf,H,5.02434308,0.977243665,4.047099416,2.745243665,1.301855751
2012,2012-06-26,6,PIED,21,twig,H,13.65175045,6.474333333,7.177417112,4.498087344,2.679329768
2012,2012-06-26,6,PIED,22,bole,A,4.363181034,3.067531062,1.295649972,0.897611121,0.398038851
2012,2012-06-26,6,PIED,22,leaf,A,5.052830306,2.193657507,2.859172799,1.858305853,1.000866946
2012,2012-06-26,6,PIED,22,root,A,7.713648409,4.058868818,3.654779591,1.894375102,1.760404489
2012,2012-06-26,6,PIED,22,twig,A,13.84521958,7.424485409,6.420734172,3.752921868,2.667812304
2012,2012-06-26,6,PIED,23,bole,CC,2.321432259,0.602335485,1.719096774,1.008516129,0.710580646
2012,2012-06-26,6,PIED,23,leaf,CC,4.657615154,1.284753061,3.372862093,1.982798799,1.390063294
2012,2012-06-26,6,PIED,23,twig,CC,14.9685535,6.487638918,8.480914577,5.166016237,3.31489834
2012,2012-06-26,6,PIED,24,leaf,A,7.57112458,3.631799327,3.939325253,2.480817509,1.458507744
2012,2012-06-26,6,PIED,24,twig,A,13.28645637,7.617096887,5.669359483,2.79617475,2.873184733
2012,2012-06-26,6,PIED,25,bole,H,1.489721756,0.782648927,0.707072829,0.321052288,0.386020542
2012,2012-06-26,6,PIED,25,leaf,H,NA,NA,NA,NA,1.29838391
2012,2012-06-26,6,PIED,25,root,H,7.643081584,4.393277195,3.24980439,1.760895993,1.488908397
2012,2012-06-26,6,PIED,25,twig,H,10.11016872,3.582315093,6.527853625,3.085948473,3.441905153
2012,2012-06-26,6,PIED,26,bole,H,1.812620413,0.750205485,1.062414928,0.682614646,0.379800283
2012,2012-06-26,6,PIED,26,leaf,H,5.147869675,1.085096742,4.062772933,2.397337344,1.665435589
2012,2012-06-26,6,PIED,26,root,H,6.723928616,5.137713231,1.586215385,0.688910769,0.897304616
2012,2012-06-26,6,PIED,26,twig,H,12.32339319,5.256312695,7.067080496,3.924249005,3.142831491
2012,2012-06-26,6,PIED,27,bole,A,2.807628935,0.836262366,1.971366569,1.31599609,0.655370479
2012,2012-06-26,6,PIED,27,leaf,A,5.016027617,1.794416099,3.221611518,1.346593921,1.875017598
2012,2012-06-26,6,PIED,27,twig,A,10.54185075,4.956656716,5.58519403,2.683820895,2.901373135
2012,2012-06-26,6,PIED,28,bole,A,2.103801439,0.454993567,1.648807872,1.168305967,0.480501905
2012,2012-06-26,6,PIED,28,leaf,A,3.27909141,0.681264378,2.597827032,1.587193974,1.010633058
2012,2012-06-26,6,PIED,28,root,A,NA,NA,2.156394991,1.428777579,0.727617412
2012,2012-06-26,6,PIED,28,twig,A,11.068633,5.196503702,5.872129293,2.293303704,3.578825589
2012,2012-06-26,6,PIED,29,bole,H,4.774773789,2.483785755,2.290988034,1.537816525,0.75317151
2012,2012-06-26,6,PIED,29,leaf,H,4.715142857,1.583187192,3.131955665,1.878192119,1.253763547
2012,2012-06-26,6,PIED,29,root,H,3.271452178,2.135867984,1.135584194,0.601705434,0.533878761
2012,2012-06-26,6,PIED,29,twig,H,11.66971678,5.863429194,5.806287582,2.997688018,2.808599564
2012,2012-06-26,6,PIED,3,bole,HD,2.979826336,1.464218035,1.515608302,0.818279103,0.697329199
2012,2012-06-26,6,PIED,3,leaf,HD,5.534706739,0.694164505,4.840542234,3.877345777,0.963196457
2012,2012-06-26,6,PIED,3,root,HD,4.323469361,2.430976432,1.892492929,0.990176431,0.902316498
2012,2012-06-26,6,PIED,3,twig,HD,8.990400167,3.000086748,5.990313419,2.527818998,3.462494422
2012,2012-06-26,6,PIED,30,bole,A,4.214216166,2.323480263,1.890735903,1.194225564,0.696510339
2012,2012-06-26,6,PIED,30,leaf,A,4.704847504,1.265519569,3.439327935,1.258887989,2.180439946
2012,2012-06-26,6,PIED,30,root,A,4.407634267,1.967849461,2.439784806,1.546033686,0.893751121
2012,2012-06-26,6,PIED,31,leaf,CC,1.568995496,0.468992827,1.100002669,0.646260551,0.453742119
2012,2012-06-26,6,PIED,31,twig,CC,10.39888631,4.012653911,6.3862324,3.599010709,2.787221691
2012,2012-06-26,6,PIED,32,leaf,CC,4.366326382,0.888344257,3.477982125,1.933809997,1.544172128
2012,2012-06-26,6,PIED,32,twig,CC,13.24088643,5.756410367,7.484476058,3.842789267,3.641686792
2012,2012-06-26,6,PIED,4,bole,D,3.707572279,0.773549558,2.934022721,1.918166497,1.015856224
2012,2012-06-26,6,PIED,4,leaf,D,5.895297806,2.246549216,3.64874859,2.714910345,0.933838245
2012,2012-06-26,6,PIED,4,root,D,3.25061736,2.289881821,0.960735539,0.463781058,0.496954481
2012,2012-06-26,6,PIED,4,twig,D,9.020258739,3.938496011,5.081762728,2.83733364,2.244429088
2012,2012-06-26,6,PIED,5,bole,D,3.052753623,1.622420513,1.430333111,0.700724192,0.729608919
