Date,Year,Species,ID,Ypd
2011-05-25,2011,JUMO,2,-4.795
2011-07-14,2011,JUMO,2,-6.9
2011-08-03,2011,JUMO,2,-1.035
2011-08-29,2011,JUMO,2,-0.885
2011-09-29,2011,JUMO,2,-0.885
2011-10-24,2011,JUMO,2,-0.7875
2011-12-02,2011,JUMO,2,-2.325
2012-02-07,2012,JUMO,2,-1.27
2012-02-28,2012,JUMO,2,-0.55
2012-03-28,2012,JUMO,2,-0.555
2012-04-27,2012,JUMO,2,-0.915
2012-05-30,2012,JUMO,2,-2.88
2012-06-20,2012,JUMO,2,-4.36
2012-07-19,2012,JUMO,2,-5.855
2012-08-21,2012,JUMO,2,-3.15
2012-09-19,2012,JUMO,2,-1.58
1992-03-12,1992,JUMO,3,-1.2
1992-04-21,1992,JUMO,3,-0.7
1992-05-20,1992,JUMO,3,-0.7
1992-05-23,1992,JUMO,3,-0.65
1992-07-02,1992,JUMO,3,-1.1
1992-07-09,1992,JUMO,3,-1.15
1992-07-22,1992,JUMO,3,-1.25
1992-08-06,1992,JUMO,3,-1.4
1992-08-20,1992,JUMO,3,-0.95
1992-09-23,1992,JUMO,3,-0.8
1992-10-20,1992,JUMO,3,-1.65
1992-11-18,1992,JUMO,3,-1.45
1993-01-13,1993,JUMO,3,-2.8
1993-02-12,1993,JUMO,3,-1.15
1993-03-16,1993,JUMO,3,-0.75
1993-04-22,1993,JUMO,3,-0.8
1993-05-21,1993,JUMO,3,-0.75
1993-06-16,1993,JUMO,3,-0.75
1993-07-15,1993,JUMO,3,-0.95
1993-08-10,1993,JUMO,3,-0.75
1993-09-16,1993,JUMO,3,-0.55
1993-10-21,1993,JUMO,3,-1.25
1993-11-23,1993,JUMO,3,-1.325
1993-12-02,1993,JUMO,3,-2.325
1993-12-21,1993,JUMO,3,-2.7
1994-01-14,1994,JUMO,3,-2.3
1994-02-11,1994,JUMO,3,-2.1
1994-03-03,1994,JUMO,3,-0.775
1994-03-11,1994,JUMO,3,-0.8
1994-04-07,1994,JUMO,3,-0.9
1994-05-05,1994,JUMO,3,-0.825
1994-06-02,1994,JUMO,3,-0.725
1994-07-07,1994,JUMO,3,-2.375
1994-07-28,1994,JUMO,3,-1.7
1994-08-25,1994,JUMO,3,-0.825
1994-09-09,1994,JUMO,3,-0.775
1994-10-13,1994,JUMO,3,-2.275
1994-10-28,1994,JUMO,3,-0.9
1994-11-22,1994,JUMO,3,-1.625
1994-12-21,1994,JUMO,3,-1.325
1995-01-10,1995,JUMO,3,-1.3
1995-02-09,1995,JUMO,3,-1.125
1995-03-08,1995,JUMO,3,-1.05
1995-04-05,1995,JUMO,3,-0.625
1995-05-04,1995,JUMO,3,-0.55
1995-06-01,1995,JUMO,3,-0.525
1995-06-28,1995,JUMO,3,-0.75
1995-07-28,1995,JUMO,3,-1.075
1995-08-23,1995,JUMO,3,-0.6
1995-09-14,1995,JUMO,3,-0.75
1995-10-20,1995,JUMO,3,-1.6
1995-12-01,1995,JUMO,3,-2.025
1996-01-19,1996,JUMO,3,-2.85
1996-02-15,1996,JUMO,3,-0.925
1996-03-19,1996,JUMO,3,-1.65
1996-04-24,1996,JUMO,3,-2.525
1996-05-22,1996,JUMO,3,-3.625
1996-06-19,1996,JUMO,3,-1.2
1996-08-01,1996,JUMO,3,-0.85
1996-09-04,1996,JUMO,3,-1.95
1996-10-03,1996,JUMO,3,-1.275
1996-11-01,1996,JUMO,3,-1.325
1996-12-03,1996,JUMO,3,-1.775
1997-01-09,1997,JUMO,3,-2.15
1997-02-11,1997,JUMO,3,-1.5
1997-03-13,1997,JUMO,3,-0.85
1997-04-21,1997,JUMO,3,-0.575
1997-05-21,1997,JUMO,3,-0.575
1997-05-27,1997,JUMO,3,-0.6
